天干1,天干2,天干3,天干4,地支1,地支2,地支3,地支4,性别,合并,得分,评语
2,6,7,5,8,4,3,9,1,乙巳庚辰辛卯丙申,4,"短暂坐过牢,地方教师,父早亡"
2,6,7,5,8,4,9,5,1,乙巳庚辰辛卯壬辰,8,"处级干部,丙子运升官,父早亡"
10,12,7,9,2,2,7,5,1,癸亥庚申乙丑庚辰,7,"16岁只身来到香港,之后四十年在老板手下打工,升为要职,但是经营生意总是失败,后期投资埋下祸根,最后甲寅运癸亥年肝癌去世"
1,9,1,11,1,9,8,8,2,甲申甲戌甲申辛未,0,"婴儿,被薄被盖头捂死,意外"
10,12,3,5,7,5,4,12,2,癸亥丙辰庚辰丁亥,1,"山火围困,14岁遇难"
7,11,8,6,6,12,2,12,2,庚戌辛巳己亥乙亥,2,26岁自杀
2,6,7,5,8,4,9,5,1,乙巳庚辰辛卯壬辰,8,"正处级,父早亡"
1,5,5,5,10,8,6,8,1,甲辰戊辰癸未己未,8,银行支行行长
3,1,5,11,4,2,4,8,2,丙子戊戌丁丑丁未,4,"丈夫早亡,子女残疾,婚姻不好"
5,5,9,11,4,2,4,8,1,戊辰壬戌丁丑丁未,12,朱元璋
9,1,7,11,8,2,6,8,1,壬子庚戌辛丑己未,8,"地产装潢,千万富翁"
10,8,3,5,5,11,3,5,1,癸未丙辰戊戌丙辰,5,"有饭吃但无工作,靠家里姐姐接济"
9,3,5,9,8,6,5,11,1,壬寅戊申辛巳戊戌,2,"电工,32岁出意外被电死"
8,4,3,9,8,8,10,6,1,辛卯丙申辛未癸巳,11,"李宗仁,中华民国副总统,代理总统"
8,4,3,9,8,8,10,6,1,辛卯丙申辛未癸巳,8,军官
9,3,10,4,9,1,9,3,1,壬寅癸卯壬子壬寅,9,"企业高管,但是是副职"
3,7,8,2,6,4,8,8,1,丙午辛丑己卯辛未,9,天津市副市长
6,8,10,10,4,6,4,8,1,己未癸酉丁巳丁未,11,袁世凯
7,7,2,10,7,1,9,7,1,庚午乙酉庚子壬午,11,和珅
5,9,6,8,10,6,6,8,1,戊申己未癸巳己未,9,"股票庄家,上海富翁,癸运倒了坐牢,但是辉煌过"
6,8,4,4,8,4,4,10,1,己未丁卯辛卯丁酉,2,"坐牢,大罪,枪毙"
5,9,4,6,5,1,5,7,1,戊申丁巳戊子戊午,3,"非常穷,年收入不超过5000,体力活,要养一家三四口"
6,6,9,9,6,8,2,2,1,己巳壬申己未乙丑,3,"游手好闲,多坐牢"
2,6,10,8,6,2,9,9,1,乙巳癸未己丑壬申,10,"亿万富豪,06年小犯官司"
4,8,10,2,3,9,8,4,2,丁未癸丑丙申辛卯,7,"高学历,大学里的官"
7,9,6,2,3,9,2,8,1,庚申己丑丙申乙未,6,"普通人,学金融,喜欢旅游"
10,4,3,5,5,1,3,5,1,癸卯丙辰戊子丙辰,9,国有企业制药公司董事长
10,4,3,5,5,9,1,1,1,癸卯丙辰戊申甲子,8,乡镇企业集团企业家
5,11,1,3,4,4,1,5,1,戊戌甲寅丁卯甲辰,12,周恩来
10,4,1,3,6,4,5,5,1,癸卯甲寅己卯戊辰,6,"普通人,经常换行业"
8,4,3,9,8,6,3,9,1,辛卯丙申辛巳丙申,6,"普通人,经历过下岗和重新上岗"
4,8,8,12,2,6,4,2,1,丁未辛亥乙巳丁丑,7,"段建业,盲派创始人"
10,4,4,6,10,2,10,12,2,癸卯丁巳癸丑癸亥,6,从事服装批发
8,4,8,2,3,5,1,7,2,辛卯辛丑丙辰甲午,6,从事刺绣工作
10,4,3,5,5,1,3,5,1,癸卯丙辰戊子丙辰,6,"从事制药行业,经理"
7,11,5,3,3,1,6,2,1,庚戌戊寅丙子己丑,6,教师
2,8,2,10,3,11,7,3,2,乙未乙酉丙戌庚寅,6,段建业对头形少芬
9,3,7,11,3,7,8,4,2,壬寅庚戌丙午辛卯,7,中学校长
4,8,10,2,3,1,9,5,1,丁未癸丑丙子壬辰,10,"投机生意,亿万身家"
7,1,6,4,1,5,6,6,1,庚子己卯甲辰己巳,8,副县长
10,6,1,1,10,4,10,12,2,癸巳甲子癸卯癸亥,7,企业部门经理
6,8,10,10,9,3,7,1,1,己未癸酉壬寅庚子,7,企业部门经理
9,9,8,8,7,7,6,6,1,壬申辛未庚午己巳,6,普通求财人
10,4,9,11,10,6,7,9,1,癸卯壬戌癸巳庚申,6,开食品杂货店
6,10,7,7,1,11,5,5,2,己酉庚午甲戌戊辰,7,从事糕点连锁店
5,11,1,1,7,9,4,12,1,戊戌甲子庚申丁亥,8,"从事多种经营,有商店贸易,地产开发,千万"
5,5,6,8,7,7,4,12,1,戊辰己未庚午丁亥,11,李嘉诚
7,11,7,5,4,6,7,11,1,庚戌庚辰丁巳庚戌,6,普通股民
7,1,7,5,7,11,5,3,1,庚子庚辰庚戌戊寅,6,"普通股民,后来从事易经咨询"
4,8,8,12,2,8,2,10,1,丁未辛亥乙未乙酉,6,"喜欢赌钱,搞易经咨询,普通人"
5,1,7,9,5,5,3,5,1,戊子庚申戊辰丙辰,7,"搞塑料生意,喜欢博彩,多输少赢"
8,2,1,7,4,2,3,7,1,辛丑甲午丁丑丙午,5,输钱躲债无工作
10,4,1,3,3,11,5,11,1,癸卯甲寅丙戌戊戌,8,"技术人员,设计院院长"
9,3,4,8,9,9,2,6,2,壬寅丁未壬申乙巳,7,"主治医师,后来离职下海赚钱"
7,1,7,5,7,7,2,10,1,庚子庚辰庚午乙酉,6,办书法培训班的
9,3,10,2,10,2,8,10,1,壬寅癸丑癸丑辛酉,6,搞玄学风水的
9,3,10,2,10,2,8,10,2,壬寅癸丑癸丑辛酉,6,"设计师,正常职业"
4,8,9,1,7,11,4,12,1,丁未壬子庚戌丁亥,7,"法律咨询,律师"
7,1,8,6,7,9,9,7,1,庚子辛巳庚申壬午,8,开会计事务所的
4,10,10,2,6,2,6,2,1,丁酉癸丑己丑己丑,8,中级法院副院长
1,5,3,1,6,8,5,5,1,甲辰丙子己未戊辰,5,无婚姻
5,11,6,8,6,12,8,8,1,戊戌己未己亥辛未,5,"有才华,作家,但是事业受挫,婚姻破裂"
4,8,3,7,3,3,10,6,1,丁未丙午丙寅癸巳,7,"名流,有名律师"
2,2,2,10,5,3,2,4,1,乙丑乙酉戊寅乙卯,4,"煤矿工人,体力劳动者"
9,1,10,2,6,10,3,3,1,壬子癸丑己酉丙寅,4,"开山工人,体力劳动者"
9,1,9,1,3,9,1,7,1,壬子壬子丙申甲午,6,木匠
2,10,2,10,10,8,10,12,1,乙酉乙酉癸未癸亥,5,"农民工,体力劳动者"
9,1,8,12,4,2,2,6,2,壬子辛亥丁丑乙巳,5,宾馆服务人员
1,3,8,8,2,12,10,8,2,甲寅辛未乙亥癸未,6,"运动员,网球教练"
3,5,2,8,8,8,4,10,1,丙辰乙未辛未丁酉,8,国家队足球员
8,10,4,10,7,1,9,7,2,辛酉丁酉庚子壬午,8,全国武术冠军
2,12,4,12,3,5,5,11,1,乙亥丁亥丙辰戊戌,7,著名评书人员
7,1,6,4,8,4,10,6,2,庚子己卯辛卯癸巳,8,影视剧有名演员
3,7,3,9,1,5,3,3,2,丙午丙申甲辰丙寅,8,著名有军衔的歌手
1,7,1,11,4,10,9,3,1,甲午甲戌丁酉壬寅,8,梅兰芳
1,7,10,6,4,12,5,9,1,甲午癸巳丁亥戊申,6,工薪阶层
9,1,4,8,10,12,2,4,1,壬子丁未癸亥乙卯,6,工薪阶层
5,9,10,12,10,8,9,1,2,戊申癸亥癸未壬子,6,工薪阶层
3,7,8,4,3,11,7,1,2,丙午辛卯丙戌庚子,6,工薪阶层
7,9,6,4,2,10,7,5,2,庚申己卯乙酉庚辰,6,工薪阶层
5,9,9,11,5,7,9,11,2,戊申壬戌戊午壬戌,6,工薪阶层
4,8,9,3,7,1,9,7,2,丁未壬寅庚子壬午,7,比普通人稍好的工薪阶层
9,3,7,11,9,7,4,8,1,壬寅庚戌壬午丁未,6,工薪阶层
2,4,1,9,4,12,8,12,2,乙卯甲申丁亥辛亥,6,工薪阶层
2,4,6,2,4,2,7,11,2,乙卯己丑丁丑庚戌,6,"工薪阶层,工资低但有老公养"
4,12,10,2,4,8,8,12,1,丁亥癸丑丁未辛亥,4,"穷困潦倒,无婚姻,还瞎了一只眼"
1,3,4,4,2,2,7,5,1,甲寅丁卯乙丑庚辰,4,拉帮结派坐牢5年
6,10,1,11,1,9,2,10,2,己酉甲戌甲申乙酉,5,"经济问题,坐牢5年"
2,4,7,3,3,11,9,5,1,乙卯庚寅丙戌壬辰,5,"人应该本质不错,但因钱财问题坐牢5年"
1,5,4,2,3,3,6,12,1,甲辰丁丑丙寅己亥,2,杀人犯被枪决
5,5,3,5,9,9,5,9,1,戊辰丙辰壬申戊申,5,"原为政府办公室主任,但后因受贿42w坐牢9年"
8,12,3,9,6,2,1,11,1,辛亥丙申己丑甲戌,4,小偷
9,9,6,10,10,6,8,10,1,壬申己酉癸巳辛酉,7,"非法集资,风光一段时间,但后期入狱"
1,3,5,5,5,1,10,2,1,甲寅戊辰戊子癸丑,3,"少年犯,判了20年"
2,10,2,10,7,3,3,11,1,乙酉乙酉庚寅丙戌,2,杀人被枪毙
3,9,3,9,3,5,4,10,1,丙申丙申丙辰丁酉,7,有名中医
1,3,10,10,1,1,9,9,1,甲寅癸酉甲子壬申,2,杀人被枪决
2,10,6,4,1,11,8,8,1,乙酉己卯甲戌辛未,3,19岁强奸被判17年
3,9,8,2,3,9,10,6,1,丙申辛丑丙申癸巳,8,"副县长,但是贪财百万被抓"
8,4,6,12,6,6,5,5,2,辛卯己亥己巳戊辰,3,"以彩票名骗人钱财300w,判20年"
2,8,2,10,3,11,6,2,2,乙未乙酉丙戌己丑,5,"家庭不幸,婚姻不好"
9,3,10,2,8,10,3,9,2,壬寅癸丑辛酉丙申,5,"三次婚姻,嫁给黑道头目,孩子判给对方"
1,9,1,11,5,7,8,10,2,甲申甲戌戊午辛酉,5,"一辈子多波折,老年稍好"
6,10,1,11,1,9,2,2,2,己酉甲戌甲申乙丑,5,小姐
2,10,6,4,7,1,6,4,1,乙酉己卯庚子己卯,4,小偷
8,12,3,9,6,2,1,11,1,辛亥丙申己丑甲戌,4,小偷
6,6,3,3,5,7,4,6,1,己巳丙寅戊午丁巳,2,13岁车祸早夭
10,6,1,1,4,10,1,5,1,癸巳甲子丁酉甲辰,12,教员
3,11,5,11,8,10,9,5,1,丙戌戊戌辛酉壬辰,6,公安干部
2,8,3,11,3,3,10,6,1,乙未丙戌丙寅癸巳,4,中青年被火烧死
2,6,8,6,5,5,10,12,1,乙巳辛巳戊辰癸亥,5,"离婚,辛苦赚钱,玄学行业"
3,5,10,6,6,8,3,3,2,丙辰癸巳己未丙寅,5,"给别人当情人,有婚姻,不长久,人品不好"
9,3,8,12,6,8,3,3,2,壬寅辛亥己未丙寅,4,"穷,卖身"
10,2,6,8,3,5,1,7,1,癸丑己未丙辰甲午,4,"一生碌碌无为,无工作,无妻儿,靠父母吃口饭"
7,11,9,7,9,7,1,5,1,庚戌壬午壬午甲辰,5,"有学历,但无工作,需要靠老婆养活"
10,8,3,5,5,11,3,5,1,癸未丙辰戊戌丙辰,4,"穷,靠人接济,没有老婆"
3,1,5,11,4,2,4,8,2,丙子戊戌丁丑丁未,3,"丈夫早死,自己也伤残"
9,1,10,4,9,1,3,7,1,壬子癸卯壬子丙午,3,乞丐
9,1,8,12,4,6,8,12,2,壬子辛亥丁巳辛亥,3,25-26岁得白血病死亡
